企业代号,额度,预期收益,年利率
E126,1000000,33857.4554695665,0.0465
E127,1000000,35555.084077307496,0.0785
E128,1000000,35616.0356012095,0.0585
E129,1000000,34805.472012674996,0.0825
E131,1000000,37091.8314412925,0.0585
E132,1000000,34805.472012674996,0.0825
E133,1000000,33857.4554695665,0.0465
E134,1000000,35084.759739885,0.0505
E135,1000000,36211.952876225,0.0825
E138,1000000,35488.911180701,0.0545
E139,1000000,35965.4890799365,0.0665
E140,1000000,34878.137681168,0.0585
E142,1000000,35346.63530649999,0.0625
E144,1000000,34761.916972557,0.0465
E148,1000000,37264.9730800975,0.0665
E149,1000000,35965.4890799365,0.0665
E151,1000000,35513.259048864,0.0585
E152,1000000,35346.63530649999,0.0625
E155,1000000,34358.919333795,0.0545
E156,1000000,35694.239113949996,0.0465
E159,1000000,34358.919333795,0.0545
E160,362180,13678.547519118,0.0585
E161,1000000,35965.4890799365,0.0665
E162,1000000,35084.759739885,0.0505
E163,1000000,35030.566645069,0.0785
E164,1000000,37015.928728398,0.0585
E165,1000000,35600.7228463425,0.0545
E166,1000000,37091.8314412925,0.0585
E170,1000000,37091.8314412925,0.0585
E171,1000000,35900.267830200006,0.0505
E174,473237,17553.22703578294,0.0585
E176,1000000,37091.8314412925,0.0585
E179,1000000,35666.3784755475,0.0465
E180,153059,5209.643963387143,0.0585
E183,1000000,31672.524419999998,0.0625
E184,1000000,32817.16080313,0.0425
E185,1000000,36497.21251125,0.0625
E186,1000000,33542.083153125,0.0625
E190,1000000,37015.928728398,0.0585
E191,630655,22847.86019186786,0.0465
E192,1000000,35703.447100469995,0.0825
E193,1000000,34800.0,0.04
E194,1000000,34727.70159489,0.0585
E195,1000000,36315.348560110004,0.0665
E196,1000000,37767.263568165,0.0585
E197,1000000,33857.4554695665,0.0465
E199,1000000,34727.70159489,0.0585
E202,1000000,33402.341841085,0.0585
E207,1000000,36186.198903238,0.0505
E209,1000000,36015.780963749996,0.0625
E210,1000000,37188.139696875005,0.0625
E211,1000000,37015.928728398,0.0585
E212,1000000,35900.267830200006,0.0505
E213,748432,27404.01062767929,0.0665
E214,1000000,34800.0,0.04
E215,1000000,37046.293523864995,0.0505
E216,1000000,36265.758311667494,0.0545
E220,1000000,35048.979352954004,0.0665
E221,1000000,34838.121409311,0.0545
E222,1000000,36186.198903238,0.0505
E225,1000000,35900.267830200006,0.0505
E228,1000000,34036.835229468,0.0585
E230,1000000,35666.3784755475,0.0465
E234,1000000,37046.293523864995,0.0505
E235,1000000,35600.7228463425,0.0545
E237,616736,21928.100333502316,0.0785
E238,1000000,37767.263568165,0.0585
E241,1000000,37046.293523864995,0.0505
E243,1000000,35616.0356012095,0.0585
E244,1000000,35666.3784755475,0.0465
E245,1000000,37091.8314412925,0.0585
E247,1000000,37188.139696875005,0.0625
E248,786498,27374.434127024866,0.0825
E250,1000000,36353.933521251,0.0585
E251,1000000,35048.979352954004,0.0665
E252,969027,34588.681445873626,0.0465
E253,600993,19466.904195490624,0.0705
E254,1000000,36353.933521251,0.0585
E255,1000000,34036.835229468,0.0585
E256,1000000,37046.293523864995,0.0505
E257,647046,24112.151771584766,0.0665
E258,1000000,36228.7783207425,0.0465
E260,425848,15204.241540840947,0.0825
E261,1000000,34358.919333795,0.0545
E262,460433,16673.178098658904,0.0825
E263,421317,14897.593361156763,0.0705
E265,216894,8044.995688627696,0.0585
E266,1000000,37767.263568165,0.0585
E267,1000000,35666.3784755475,0.0465
E270,1000000,36265.758311667494,0.0545
E271,400563,14380.318982868408,0.0505
E273,987034,35203.92821223355,0.0465
E274,1000000,31826.543033393,0.0505
E275,1000000,35600.7228463425,0.0545
E276,582776,20756.170763530467,0.0585
E277,239773,7901.238222347827,0.0465
E281,133787,4553.686074844836,0.0585
E282,763520,28285.586031341405,0.0505
E284,660662,22991.0376,0.04
E285,1000000,37046.293523864995,0.0505
E289,1000000,37046.293523864995,0.0505
E290,1000000,33345.968864046,0.0585
E294,1000000,37767.263568165,0.0585
E295,170574,6194.454265292203,0.0665
E296,728516,25352.3568,0.04
E297,192320,6693.7883774776565,0.0825
E298,422682,13841.151354493568,0.0745
E300,438968,15271.288960315826,0.0465
E301,1000000,35310.054954590996,0.0465
E303,1000000,35682.163956532,0.0665
E305,1000000,34800.0,0.04
E306,917181,32840.84458124207,0.0625
E308,167319,5741.838725243455,0.0825
E309,342319,12289.343783366236,0.0505
E310,915238,30159.832291981085,0.0465
E311,1000000,34761.916972557,0.0465
E315,904459,33116.9752874011,0.0665
E316,1000000,37767.263568165,0.0585
E317,1000000,37091.8314412925,0.0585
E318,1000000,35666.3784755475,0.0465
E319,265334,9233.6232,0.04
E321,826061,29892.007652207685,0.0505
E322,126297,4609.488448533341,0.0625
E323,351215,13027.207579653545,0.0585
E326,170806,6032.141495721885,0.0665
E327,283139,10103.012220488514,0.0665
E328,1000000,35346.63530649999,0.0625
E329,1000000,36015.780963749996,0.0625
E330,675619,25176.923847402395,0.0665
E331,889350,28780.873946597276,0.0825
E332,215170,7217.250032057906,0.0625
E334,80367,2836.208271086718,0.0705
E335,154448,5755.5005622748995,0.0665
E338,908977,33044.88943034617,0.0585
E339,139921,4610.81586879728,0.0465
E341,250940,8701.969252582794,0.0625
E342,214229,7629.98769081151,0.0585
E343,504569,18343.067882884097,0.0585
E344,20959,776.4532659666864,0.0505
E347,115137,4133.449137165739,0.0505
E348,179743,6435.9291432838145,0.0625
E349,243269,8448.173239287296,0.0585
E350,246725,8959.904373493142,0.0665
E351,175826,6332.510703732307,0.0625
E354,115869,4135.8557918942715,0.0465
E355,72422,2536.983697569187,0.0785
E356,228224,7933.5037391448495,0.0465
E357,283112,10010.722215490507,0.0705
E358,237240,8624.607188581587,0.0585
E361,373165,12296.903993537333,0.0465
E362,136749,4971.364055097553,0.0585
E363,290734,10761.789022922067,0.0585
E364,110026,4076.05549125677,0.0505
E365,189961,6596.908922666899,0.0585
E366,47318,1646.6664,0.04
E368,87625,3046.012974720307,0.0465
E370,210074,7776.084211689483,0.0585
E371,153438,5508.465295330228,0.0505
E372,168139,5405.823011516153,0.0545
E374,93243,3381.41952795762,0.0585
E375,138129,4843.739282831467,0.0505
E376,156187,5781.406860302298,0.0585
E380,260170,8726.64377394853,0.0625
E385,69733,2535.068846237396,0.0585
E386,113109,3968.402089418653,0.0505
E387,109907,3878.6957638126087,0.0705
E388,96702,3368.916016523192,0.0545
E390,76640,2664.1533167767684,0.0465
E391,117168,3967.010342458167,0.0465
E392,135374,4749.564265027193,0.0505
E393,5937,200.43312000000003,0.04
E394,248308,8638.4046653927,0.0465
E395,41454,1565.604143954712,0.0585
E398,58982,2084.8152436479827,0.0625
E399,61465,2092.074077379251,0.0585
E400,25391,868.3094726147599,0.0705
E401,22356,771.8627988880082,0.0745
E402,5771,198.6135514986489,0.0665
E403,50916,1733.0195025435926,0.0585
E405,63313,2259.144846579911,0.0665
